Source: https://cea.nic.in/dashboard/?lang=en,,,
Year,State,Per Capita Consumption (kWh),
2012-13,Goa,2044.903489,
2012-13,West Bengal,593.8552678,
2012-13,Sikkim,861.8029827,
2012-13,Uttar Pradesh,449.9826037,
2012-13,A.& N. Islands,558.9143197,
2012-13,Arunachal Pradesh,718.5679948,
2012-13,Rajasthan,981.8541147,
2012-13,Assam,240.2768662,
2012-13,Manipur,352.8601133,
2012-13,Jharkhand,846.8000471,
2012-13,Punjab,1761.079394,
2012-13,Meghalaya,690.2030455,
2012-13,Mizoram,469.376047,
2012-13,Jammu & Kashmir,1043.362925,
2012-13,Uttarakhand,1297.256164,
2012-13,Odisha,1209.205222,
2012-13,Chhattisgarh,1495.407442,
2012-13,Daman & Diu,7926.745682,
2012-13,Puducherry,2135.739482,
2012-13,Andhra Pradesh,1134.902142,
2012-13,Telangana,,
2012-13,Maharashtra,1239.332675,
2012-13,Karnataka,1129.091154,
2012-13,Kerala,630.0744142,
2012-13,Madhya Pradesh,752.7357718,
2012-13,Tamil Nadu,1226.259434,
2012-13,D. & N. Haveli,14340.73919,
2012-13,Gujarat,1796.289795,
2012-13,Lakshadweep,591.53125,
2012-13,Bihar,145.4159078,
2012-13,Nagaland,268.4936154,
2012-13,Haryana,1722.302462,
2012-13,S R,1093.779064,
2012-13,Tripura,296.0505963,
2012-13,W R,1283.784552,
2012-13,E R,552.1999331,
2012-13,Delhi,1613.248372,
2012-13,N R,852.090941,
2012-13,Himachal Pradesh,1379.776356,
2012-13,N E R,298.3259208,
2012-13,Chandigarh,1167.625289,
2012-13,All India,914.4106342,
2013-14,Maharashtra,1183.115011,
2013-14,Lakshadweep,664.6153846,
2013-14,Daman & Diu,8003.492182,
2013-14,Bihar,159.852941,
2013-14,Chhattisgarh,1600.984714,
2013-14,Goa,2197.733707,
2013-14,Gujarat,1972.561582,
2013-14,Jharkhand,810.3329441,
2013-14,Odisha,1348.595665,
2013-14,Uttarakhand,1285.251055,
2013-14,Chandigarh,1132.535345,
2013-14,E R,578.7030244,
2013-14,N E R,316.6124712,
2013-14,Karnataka,1179.231624,
2013-14,Telangana,,
2013-14,Kerala,645.2608865,
2013-14,Madhya Pradesh,764.2754988,
2013-14,Andhra Pradesh,1196.120879,
2013-14,All India,956.6382874,
2013-14,Delhi,1445.972849,
2013-14,Tamil Nadu,1543.835473,
2013-14,Puducherry,1692.420233,
2013-14,D. & N. Haveli,14515.33123,
2013-14,Punjab,1810.000975,
2013-14,A.& N. Islands,368.1818182,
2013-14,Mizoram,444.6832101,
2013-14,Assam,280.0097725,
2013-14,S R,1212.500593,
2013-14,Arunachal Pradesh,502.7349916,
2013-14,Himachal Pradesh,1347.749871,
2013-14,Tripura,330.6418688,
2013-14,Meghalaya,683.9920805,
2013-14,Manipur,266.4916057,
2013-14,Jammu & Kashmir,1066.039616,
2013-14,W R,1313.038399,
2013-14,Haryana,1773.058931,
2013-14,West Bengal,608.5431263,
2013-14,Nagaland,258.9646015,
2013-14,N R,867.3043693,
2013-14,Sikkim,699.7402033,
2013-14,Uttar Pradesh,471.8877317,
2013-14,Rajasthan,1011.187666,
2014-15,Telangana,1355.793611,
2014-15,N E R,338.1996991,
2014-15,Tripura,303.1428723,
2014-15,Andhra Pradesh,1039.713384,
2014-15,Meghalaya,704.4225226,
2014-15,All India,1009.608027,
