Source: https://cea.nic.in/dashboard/?lang=en,,,
Year,State,Per Capita Consumption (kWh),
2014-15,Mizoram,449.3823136,
2014-15,Goa,1803.242841,
2014-15,Nagaland,311.3178404,
2014-15,D. & N. Haveli,13768.98218,
2014-15,West Bengal,647.3394656,
2014-15,E R,617.9658918,
2014-15,Jharkhand,834.8105501,
2014-15,W R,1393.449299,
2014-15,Sikkim,684.9287284,
2014-15,S R,1270.952443,
2014-15,Lakshadweep,657.1139241,
2014-15,A.& N. Islands,360.5,
2014-15,Puducherry,1654.897104,
2014-15,N R,927.4472606,
2014-15,Bihar,202.942969,
2014-15,Tamil Nadu,1615.656466,
2014-15,Arunachal Pradesh,525.2281516,
2014-15,Kerala,671.7228315,
2014-15,Manipur,295.2564485,
2014-15,Assam,313.9893875,
2014-15,Karnataka,1211.460573,
2014-15,Odisha,1418.993157,
2014-15,Daman & Diu,6960.328792,
2014-15,Haryana,1909.26313,
2014-15,Gujarat,2104.635178,
2014-15,Rajasthan,1122.823432,
2014-15,Maharashtra,1257.093699,
2014-15,Punjab,1857.881769,
2014-15,Delhi,1560.641209,
2014-15,Uttar Pradesh,501.5950603,
2014-15,Madhya Pradesh,812.8007394,
2014-15,Himachal Pradesh,1336.194345,
2014-15,Chhattisgarh,1719.00233,
2014-15,Uttarakhand,1357.832131,
2014-15,Jammu & Kashmir,1168.655533,
2014-15,Chandigarh,1051.995102,
2015-16,Jammu & Kashmir,1234.264898,
2015-16,Madhya Pradesh,928.9487504,
2015-16,Gujarat,2247.684628,
2015-16,Tamil Nadu,1687.931234,
2015-16,Punjab,1919.133687,
2015-16,Kerala,704.2244178,
2015-16,Manipur,359.9358228,
2015-16,Meghalaya,834.8716632,
2015-16,Assam,322.2354303,
2015-16,Arunachal Pradesh,600.4394644,
2015-16,Uttarakhand,1431.221358,
2015-16,Odisha,1563.568973,
2015-16,Bihar,257.6966005,
2015-16,West Bengal,660.4697962,
2015-16,Chhattisgarh,2022.37361,
2015-16,Uttar Pradesh,524.4263596,
2015-16,Lakshadweep,648.9,
2015-16,Sikkim,686.5964026,
2015-16,A.& N. Islands,354.5901639,
2015-16,Jharkhand,884.0527589,
2015-16,Rajasthan,1163.520696,
2015-16,Puducherry,1671.924435,
2015-16,Mizoram,503.4747699,
2015-16,Nagaland,346.0581728,
2015-16,N R,956.8230413,
2015-16,Chandigarh,1112.381204,
2015-16,Maharashtra,1317.661067,
2015-16,N E R,368.7988662,
2015-16,Haryana,1936.173908,
2015-16,W R,1515.411984,
2015-16,Andhra Pradesh,1229.505368,
2015-16,Daman & Diu,7835.984085,
2015-16,Goa,2737.718409,
2015-16,Delhi,1556.579127,
2015-16,Telangana,1439.405333,
2015-16,E R,674.7289014,
2015-16,Karnataka,1242.305968,
2015-16,S R,1316.319014,
2015-16,Himachal Pradesh,1338.864422,
2015-16,Tripura,328.9592505,
2015-16,D. & N. Haveli,15137.3477,
2015-16,All India,1074.646514,
2016-17,All India,1121.731963,
2016-17,Rajasthan,1165.944476,
2016-17,E R,694.4038226,
2016-17,Uttar Pradesh,584.8677926,
2016-17,Jharkhand,915.1535191,
2016-17,Chandigarh,1127.768092,
2016-17,N E R,391.5708865,
2016-17,West Bengal,664.7390012,
2016-17,Odisha,1622.230505,
2016-17,Sikkim,806.2267949,
2016-17,Manipur,325.5254795,
2016-17,Himachal Pradesh,1339.633069,
2016-17,Jammu & Kashmir,1281.727334,
2016-17,Meghalaya,832.408868,
2016-17,Tripura,470.2362217,
2016-17,Mizoram,522.6767407,
2016-17,N R,1003.38019,
2016-17,Punjab,2027.513984,
2016-17,Assam,338.6436831,
2016-17,Haryana,1974.596397,
2016-17,Arunachal Pradesh,648.2089338,
2016-17,W R,1532.616279,
2016-17,S R,1432.192456,
2016-17,Delhi,1573.994036,
2016-17,A.& N. Islands,369.5773381,
2016-17,Nagaland,344.9255301,
2016-17,Uttarakhand,1453.681246,
2016-17,Daman & Diu,7964.842558,
2016-17,Kerala,762.9710616,
2016-17,Andhra Pradesh,1318.795505,
2016-17,Maharashtra,1307.301672,
2016-17,Telangana,1551.434859,
2016-17,Puducherry,1783.748856,
2016-17,Lakshadweep,633.0731707,
2016-17,Bihar,271.9533118,
2016-17,Goa,2466.490741,
2016-17,Gujarat,2278.981222,
2016-17,Karnataka,1367.098196,
2016-17,D. & N. Haveli,15782.73149,
2016-17,Chhattisgarh,2016.443385,
2016-17,Madhya Pradesh,988.8823557,
2016-17,Tamil Nadu,1847.372958,
2017-18,Mizoram,489.7722878,
2017-18,Himachal Pradesh,1392.824559,
2017-18,Karnataka,1355.765795,
2017-18,A.& N. Islands,569.2845237,
2017-18,Kerala,765.8590814,
2017-18,Meghalaya,743.0047088,
2017-18,Jammu & Kashmir,1283.57902,
2017-18,Manipur,346.7769575,
2017-18,Gujarat,2320.788865,
2017-18,Assam,330.4783567,
2017-18,Tamil Nadu,1834.013324,
2017-18,Punjab,2048.950003,
2017-18,Nagaland,348.243943,
2017-18,Tripura,714.1598847,
2017-18,D. & N. Haveli,15218.04758,
2017-18,N E R,401.4217631,
2017-18,Chandigarh,1004.309058,
2017-18,E R,705.9656552,
2017-18,Goa,2228.94041,
2017-18,S R,1465.148984,
2017-18,Maharashtra,1370.992251,
2017-18,Delhi,1563.537112,
2017-18,W R,1573.276341,
2017-18,Andhra Pradesh,1388.241944,
2017-18,N R,1030.85716,
2017-18,Haryana,1990.177429,
2017-18,All India,1149.102247,
2017-18,Telangana,1727.40264,
2017-18,Madhya Pradesh,1019.985434,
2017-18,Daman & Diu,7902.137256,
2017-18,Lakshadweep,562.8915663,
2017-18,Bihar,280.0164493,
2017-18,Odisha,1592.701058,
2017-18,Chhattisgarh,2003.032236,
2017-18,West Bengal,698.9770645,
2017-18,Puducherry,1749.294317,
2017-18,Sikkim,810.3788159,
2017-18,Jharkhand,926.9433343,
2017-18,Rajasthan,1178.034764,
2017-18,Uttarakhand,1450.120152,
2017-18,Uttar Pradesh,627.5768421,
2017-18,Arunachal Pradesh,656.2073725,
2018-19,Nagaland,356.1695777,
2018-19,Rajasthan,1282.456218,
2018-19,Chhattisgarh,1960.656923,
2018-19,Telangana,1896.283689,
2018-19,Madhya Pradesh,1084.0026,
2018-19,E R,725.9307952,
2018-19,Sikkim,872.7336618,
2018-19,Uttar Pradesh,605.7398169,
2018-19,Tripura,513.5336684,
2018-19,Delhi,1548.482468,
2018-19,W R,1621.557908,
2018-19,Odisha,1627.72278,
2018-19,S R,1524.810131,
2018-19,Lakshadweep,553.5714286,
2018-19,Andhra Pradesh,1479.579176,
2018-19,Maharashtra,1424.265404,
2018-19,N R,1044.674009,
2018-19,West Bengal,703.2648698,
2018-19,Haryana,2081.679523,
2018-19,Himachal Pradesh,1417.92623,
2018-19,D. & N. Haveli,15178.68008,
2018-19,Kerala,757.1017426,
2018-19,N E R,406.7344028,
2018-19,Arunachal Pradesh,703.2366148,
2018-19,Jammu & Kashmir,1322.289451,
2018-19,Assam,341.3891999,
2018-19,Jharkhand,938.4716925,
2018-19,Daman & Diu,7758.050611,
2018-19,Uttarakhand,1466.846084,
2018-19,Manipur,371.0668643,
2018-19,Goa,2274.436609,
2018-19,A.& N. Islands,596.6671821,
2018-19,Meghalaya,880.5528491,
2018-19,Punjab,2046.008191,
2018-19,Mizoram,617.4379425,
2018-19,Chandigarh,978.0602937,
2018-19,Karnataka,1395.697172,
2018-19,Bihar,311.3097973,
2018-19,Puducherry,1744.501166,
2018-19,All India,1180.856498,
2018-19,Tamil Nadu,1866.341172,
2018-19,Gujarat,2377.690716,
2019-20,Nagaland,367.043575,
2019-20,Odisha,1559.341831,
2019-20,S R,1576.528835,
2019-20,Goa,2396.039147,
2019-20,Chandigarh,985.6682227,
2019-20,Bihar,332.1205274,
2019-20,D. & N. Haveli,15517.22812,
2019-20,Jharkhand,853.4878531,
2019-20,Uttar Pradesh,628.7279284,
2019-20,N E R,402.4983356,
2019-20,All India,1207.890925,
2019-20,Maharashtra,1417.734863,
2019-20,E R,730.6796448,
2019-20,Delhi,1571.58135,
2019-20,Gujarat,2387.935585,
2019-20,Lakshadweep,550.9484906,
2019-20,Meghalaya,861.0902862,
2019-20,Kerala,825.6539168,
2019-20,A.& N. Islands,585.4460618,
2019-20,Jammu & Kashmir,1383.635874,
2019-20,Manipur,385.0134462,
2019-20,Chhattisgarh,2044.001714,
2019-20,Daman & Diu,7560.974838,
2019-20,Tamil Nadu,1843.925895,
2019-20,Assam,348.0286291,
2019-20,Arunachal Pradesh,631.3775733,
2019-20,Karnataka,1468.062717,
2019-20,Puducherry,1751.923182,
2019-20,Mizoram,628.7847516,
2019-20,W R,1630.525485,
2019-20,Haryana,2229.226518,
2019-20,Uttarakhand,1527.901647,
2019-20,Andhra Pradesh,1506.553462,
2019-20,N R,1088.630705,
2019-20,Madhya Pradesh,1085.960873,
2019-20,West Bengal,756.6473535,
2019-20,Rajasthan,1316.637164,
2019-20,Tripura,425.3904949,
2019-20,Telangana,2070.95075,
2019-20,Sikkim,928.8926099,
2019-20,Himachal Pradesh,1527.204521,
2019-20,Punjab,2171.191821,
