Energy Sales data: (GWh),,,,,,,,,,,
Year,State,Domestic,Commercial,Industrial (Low & Med. Voltage),Industrial (High Voltage),Public Lighting,Traction,Agriculture,Public Water Works & Sewage Pumping,Miscellaneous,Total Energy Sold
2015-16,Odisha,6220.86,1449.18,351.63,5705.39,90,1071.97,265.83,132.09,766.27,16053.22
2015-16,Jharkhand,4183.7,516.2488,175.75,11042.9968,163.2,1276.5194,97.98,85.17,0,17541.565
2015-16,Bihar,5470.55,1139.04,342.94,1697.28,31.93,567.32,344.33,67.85,3588.39,13249.63
2015-16,Lakshadweep,34.09,10.59,0.3,0,0.62,0,0,0,0,45.6
2015-16,Puducherry,655.84,186.45,197.92,1249.4,26.31,0,54.7,56.34,41.18,2468.14
2015-16,Tamil Nadu,23928.64,9446.43,7442.66,22687.99,1207.67,834.35,11548.33,2375.67,611.45,80083.19
2015-16,Kerala,10070.02,4117.89,1156.7,2970.19,374.33,220.33,288.16,215.0019613,416.3,19828.92196
2015-16,West Bengal,13470.26,5423.0312,2086.32,13888.1932,478.99,1523.3106,1524.26,867.2,3235.04,42496.605
2015-16,Sikkim,129.2802535,59.67980813,135.5040495,0,4.679545855,0,0,0,25.31634307,354.46
2015-16,A & N Islands,125.15,61.85,15.42,0,5.99,0,0,0.86,33,242.27
2015-16,Arunachal Pradesh,164.13,38.34,88.7,0,13,0,0,0,71,375.17
2015-16,Assam,3116,902,87,1396,17,0,34,66,581,6199
2015-16,Manipur,298.85,39.84,16.2,7.62,4.12,0,1.79,16.69,89.87,474.98
2015-16,Meghalaya,423,91.84,5.57,608.1,1.18,0,0,36.53,116.96,1283.18
2015-16,Mizoram,217.75,37.48,1.96,7.21,6.51,0,0.02,49.2,18.37,338.5
2015-16,Nagaland,327.56,65,54.42,0,10.18,0,0,5,87.31,549.47
2015-16,Tripura,439.77,74.92,21.41,21.6,39.72,0,33.91,79.36,102.37,813.06
2015-16,Karnataka,11313.56392,6135.20904,1804.568459,14034.07032,883.3357934,247.8,19318.48049,2547.958387,938.1935908,57223.18
2015-16,Telangana,9940.2961,4839.896385,1130.553935,10313.66,555.5110515,578.72,11991.47533,507.7112253,1431.145978,41288.97
2015-16,Chandigarh,656.63,459.39,136.1,132.6,24.71,0,1.83,,85.72,1496.98
2015-16,Delhi,12826.33,7030.91,3098.63,35.8,445.95,520.47,29.58,575.72,1094.78,25658.17
2015-16,Haryana,6949,3656,1622,8424.12,84,324.07,9506,768,3759.07,35092.26
2015-16,Himachal Pradesh,1942.22,626.45,210.38,4393.43,13.03,0,51.65,546.33,174.3,7957.79
2015-16,Jammu & Kashmir,2927.49,912.04,475.4,915.2,49.79,0,305,577,982,7143.92
2015-16,Punjab,11859.47,3413.99,2236.65,10321.06,176.5,164.61,11513.88,462.18,694.66,40843
2015-16,Rajasthan,10568.21,4064.34,3114.94,9749.37,412.8,152,19968.35,1803.49,525.28,50358.78
2015-16,Uttar Pradesh,28275.1598,5118.474688,2903.504294,13861.43835,870.5155773,1650.53,12671.18852,1643.819763,3972.269,70966.9
2015-16,Uttarakhand,2391.15,1118.51,282.32,5172.43,45.37,14.16,141.03,347.04,786.13,10298.14
2015-16,Chhattisgarh,4986.99,1183.59,532.71,6638.08,100.66,889.97,4025.24,253.48,276.18,18886.9
2015-16,Andhra Pradesh,11493.91,2444.05,2313.17,12387.44,317.35,1359.41,10970,485.81,2581.6,44352.74
2015-16,Goa,1010,351,172.98,1789.22,5,0,18,0,45,3391.2
2015-16,D & N Haveli,98.86,28.6,200.91,4420.92,7.46,0,8.63,3.55,779.31,5548.24
2015-16,Daman & Diu,88.28,49.93,160.54,1373.35,7.43,0,2.46,2.69,7.3,1691.98
2015-16,Maharashtra,27927.27,13874.24,9321.73,24901.92,1755.9,2495.14,28396.58,2511.98,4170.93,115355.69
2015-16,Madhya Pradesh,10967.39049,2710.551088,1113.610848,8483.7,364.0459644,1925.09,18868.19112,1245.55766,706.315177,46384.45235
2015-16,Gujarat,13378.02,4359.59,13749.4,30306,336.46,778.56,11204.49,1786.3,1128.95,77027.77
2016-17,Odisha,6894.161677,1560.504472,324.714001,5763.892932,92.85287436,1103.74,327.0432098,140.5697909,780.4819229,16987.96088
2016-17,Jharkhand,4918.619508,527.902553,210.6680492,11788.51551,146.7,1259.66,110.3885,83.77,502.562758,19548.78688
2016-17,Bihar,8443.32,1702.15,565.98,2063.63,32.28,626.35,409.28,81.28,3326.42,17250.69
2016-17,Lakshadweep,35.021556,11.547029,0.415009,0,0.609743,0,0,0,0,47.593337
2016-17,Puducherry,659.73,186.94,172.42,1301.84,26.99,0,59.17,0,149.1,2556.19
2016-17,Tamil Nadu,24529.532,9300.08,7880.781,24055.772,1202.325,852.24,11733.399,1202.325,3179.611,83936.065
2016-17,Kerala,10340.26731,4389.216673,1135.725261,2736.542733,378.481749,227.94,331.559438,0,678.665313,20218.39848
2016-17,West Bengal,14301.50497,5725.690831,2132.158162,14225.97781,522.087505,1394.38,1433.612461,877.907536,3332.483014,43945.80228
2016-17,Sikkim,164.09,41.07,1.61,205.86,0.33,0,0,0.55,23.06,436.57
2016-17,A & N Islands,139.08,65.57,16.88,0,10.3,0,0,0,34,265.83
2016-17,Arunachal Pradesh,147.95788,44.47,4.3495,101.98,10.9356,0,0.0377,0,61.087,370.81768
2016-17,Assam,3425,1011,96,1259,17,0,36,87,594,6525
2016-17,Manipur,330.432071,43.538361,14.324449,7.358358,3.456898,0,0.960295,23.507264,88.342302,511.919998
2016-17,Meghalaya,396.453652,87.15184794,5.061936,315.290086,0.447579,0,0.099675,34.59,133.287979,972.3827549
2016-17,Mizoram,233.8976654,33.8680099,1.642277,8.83073202,4.890111,0,0,49.95251782,20.4597965,353.5411096
2016-17,Nagaland,342,82.58,61.29,0,14.6,0,0.02,9.24,125.1,634.83
2016-17,Tripura,502.19,77.62,26.31,24.67,38.59,0,40.5516789,81.92,103.42,895.2716789
2016-17,Karnataka,11829.43151,6262.744314,1694.691697,12015.28251,974.3722888,67.61,21625.34836,2733.356462,949.4804142,58152.31755
2016-17,Telangana,10055.86187,4956.209614,1146.229082,9302.552556,534.5931566,553.42,15676.32433,533.5293479,1687.764405,44446.48436
2016-17,Chandigarh,719.195,497.842,135.48,126.9,21.43,0,4.23,,83.939,1589.016
2016-17,Delhi,14086.6581,7290.324338,3053.437578,35.3,494.3965463,71.37,28.879182,602.8039707,941.320253,26604.48996
2016-17,Haryana,7395.648225,5341.450281,1642.376751,8348.220125,102.553485,359.57,9708.811,806.500393,795.476476,34500.60674
2016-17,Himachal Pradesh,1937.929,528.239,208.131,4353.377,12.994,0,57.282,551.005,324.834,7973.791
2016-17,Jammu & Kashmir,3272.06,1023.8,514.189973,1016.6,52.8,0,313,615,1095,7902.449973
2016-17,Punjab,13047.33,3719.32,3271.9,10205.27,186.57,197.25,12195.97,503.63,722.98,44050.22
2016-17,Rajasthan,11496.82397,4273.105764,3004.878719,8008.92188,330.3471916,373.59,21361.20878,1502.995636,675.3919373,51027.26387
2016-17,Uttar Pradesh,33239.30739,5613.824969,5643.95362,13571.827,977.5596295,1657.25,15638.04456,1814.706674,2911.741051,81068.21489
2016-17,Uttarakhand,2595,1198,311,5916.26,46.65,19.76,141.705,366,567.5035,11161.8785
2016-17,Chhattisgarh,4938.815765,1448.593516,519.524225,6628.013611,106.687742,900.62,4290.382549,288.056255,38.77642,19159.47008
2016-17,Andhra Pradesh,12383.06665,3185.83853,3833.27959,11894.31,395.18124,1240.27,13296.6097,511.63392,1021.26062,47761.45024
2016-17,Goa,880.59,368.45,160.75,1949.37,36.95,0,29.94,0,49.32,3475.37
2016-17,D & N Haveli,104.46,30.36,211.7,5368.25,8.28,0,6.2,4.55,3.2,5737
2016-17,Daman & Diu,96.01,44.32,171.3,1403.44,7.89,0,2.72,3.22,8.19,1737.09
2016-17,Maharashtra,26870.36984,13367.60633,9331.250525,24405.29203,1837.684336,2297.8,28201.8406,2510.319181,12228.64402,121050.8068
2016-17,Madhya Pradesh,11184.3541,2829.983628,1240.815861,7640.309351,420.8546534,1827,17331.6475,1431.941361,1774.463402,45681.36985
2016-17,Gujarat,13889.8388,2954.019327,15737.9596,32583.77643,348.453599,652.93,16758.62189,1959.049057,671.144449,85555.79315
2017-18,Odisha,6825.26077,1675.371633,372.764996,6161.369,99.662249,1162.317,429.3417,125.560871,862.103376,17713.7516
2017-18,Jharkhand $,5435.385375,700.3375103,271.2372476,11902.47727,133.7436756,1219.33,202.4425707,0,85.2,19950.15365
2017-18,Bihar,9084.681066,1742.031873,510.25,2262.473321,57.55313357,700.02,479.8438966,107.3943343,3768.97097,18713.21859
2017-18,Lakshadweep,35.898305,11.436854,0.426305,0,0.648178,0,0,0,0.092675,48.502317
2017-18,Puducherry,713.28,206.343,177.22,1322.63,27.52,0,57.28,0,35.69,2539.963
2017-18,Tamil Nadu,25815.333,9915.985,8984.8325,24621.23,1123.734,858.61,11257.43,1123.734,2953.109,86653.9975
2017-18,Kerala,10636.43745,4570.861283,1223.681396,3179.065374,377.35745,265.16,372.269168,0.15817,729.148748,21354.13904
2017-18,West Bengal,14924.14,6080.433729,2176.63522,15422.35,592.38,1401.55,1250.42,892.06,2737.626791,45477.59574
2017-18,Sikkim,98.720323,38.383267,2,176.867277,0.134808,0,0,0,27.566195,343.67187
2017-18,A & N Islands,141.665644,58.735606,17.62488,0,7.797471,0,1.17914,0,38.675313,265.678054
2017-18,Arunachal Pradesh,171.5404134,53.552346,4.7487841,126.341764,11.93948808,2.12,0.04116086,0,66.6947866,436.978743
2017-18,Assam,3804.23,1035.36,96.19,1375.88,12.72,0,34.72,70.96,633.76,7063.82
2017-18,Manipur,354.74,47.33,19.26,9.04,3.67,0,2.12,21.07,106.77,564
2017-18,Meghalaya,455.1734915,95.36560754,5.3150328,380.5340605,0.43320946,0,0.120825,36.04979214,90.733332,1063.725351
2017-18,Mizoram,235.136667,48.119438,2.187381,11.151565,2.208549,0,0,41.57504,55.388341,395.766981
2017-18,Nagaland,378.21,88.12,65.56,0,14.84,0,0,9.36,107.63,663.72
2017-18,Tripura,508.64646,84.240217,21.672929,26.620658,45.27728,0,38.506632,87.94835,115.098745,928.011271
2017-18,Karnataka,12503.77712,6389.364611,1852.424392,11782.16261,1023.612945,181.222888,21377.16121,3251.700067,874.175179,59235.60102
2017-18,Telangana,10710.39563,5340.121934,1199.129378,10507.79,457.5388513,467.1,19984.61444,545.8642283,1985.090413,51197.64488
2017-18,Delhi,14911.54199,8118.356772,3188.283854,43.53995691,433.8581451,687.484987,33.17444045,389.8679619,681.646864,28487.75497
2017-18,Haryana,8743.693794,4266.358675,1914.500204,10659.9132,226.920134,225.64,10067.34494,914.5567825,1196.449252,38215.37698
2017-18,Himachal Pradesh,1989.9,567.086,200.783,4614.96,11.29,0,62.182,605.093,353.265,8404.559
2017-18,Jammu & Kashmir,3442.8,1081.1,528.2,1173.5,53.2,14.67,314.45,624.15,1162.8,8394.87
2017-18,Punjab,13641.73,3889.01,3391.75,12178.86,193.75,240.42,12294.64939,494.24,703.05,47027.45939
2017-18,Rajasthan,11998.33421,4576.579774,3054.069,7847.001,347.651,388.36,22833.451,1896.533,675.797,53617.77599
2017-18,Uttar Pradesh,38292.30962,6237.60068,4318.1781,14449.17,1039.59754,1723.35,17742.15438,2070.351146,4522.67279,90395.38426
2017-18,Uttarakhand,2741.53102,1232.479631,302.216388,5858.052831,57.313921,29.2,437.075577,367.225345,185.202,11210.29671
2017-18,Chhattisgarh,5025.078843,1489.455387,526.15625,7081.107228,100.609373,925.42902,4831.246324,338.102989,45.349989,20362.5354
2017-18,Gujarat,14648.25284,3109.286218,16406.83835,37118.80063,321.842345,695.01,13731.76325,2090.944201,2596.495852,90719.23368
2017-18,Madhya Pradesh,12054.25781,2920.528821,1250.110573,8927.13,416.2005434,1821.72,18473.17546,1515.75269,5143.975932,52522.85182
2017-18,Maharashtra,27946.84225,13742.33989,9555.59823,29618.29696,1900.990605,2500.384802,30306.89819,2770.100056,6579.278757,124920.7297
2017-18,Daman & Diu,120.75,55.93,195.03,1978.19,9.47,0,4.73,3.49,9.78,2377.37
2017-18,D & N Haveli,112.64,32.72,208.24,5295.13,7.97,0,6.5,5.45,3.39,5672.04
2017-18,Goa,938.73,386.03,167.07,2009.88,37.3,0,29.94,0,48.97,3617.92
2017-18,Andhra Pradesh,13372.73725,3384.798032,4729.972464,13000.82159,500.541429,1923.572748,12589.19857,472.265447,1026.895443,51000.80298
2017-18,Chandigarh,731.24,483.7,131.93,122.8,17.82,0,1.43,,84.96,1573.88
