Energy Sales data: (GWh),,,,,,,,,,,
Year,State,Domestic,Commercial,Industrial (Low & Med. Voltage),Industrial (High Voltage),Public Lighting,Traction,Agriculture,Public Water Works & Sewage Pumping,Miscellaneous,Total Energy Sold
2013-14,Tripura,390.4,64.65,34.14,68.97,34.75,0,29.56,67.51,32.3,722.28
2013-14,Tamil Nadu,20201,7757,6583.525847,19335.84415,1020.51,766,12295,2007.49,1806,71772.37
2013-14,Puducherry,607.39,185.17,160.43,1253.4,17.16,0,57,55.71,195.66,2531.92
2013-14,Lakshadweep,29.37055145,10.05722164,0.433034301,0,1.169192612,0,0,0,0,41.03
2013-14,Bihar,3281.01,819.19,281.01,1553.51,45.7,523.95,321.79,58.52,1095.03,7979.71
2013-14,Jharkhand,4158,494.4452,200.024,11136.707,277.2,1169.06352,92.4,165.55,481.25,18174.63972
2013-14,Odisha,4693.21,1201.35,320.23,6206.67,71.47,1009.9,171.82,114.05,622.76,14411.46
2013-14,West Bengal,11263.14,4968.6548,2002.57,14360.039,393.5,1422.91048,1183.15,647.36,350.27,36591.59428
2013-14,Sikkim,147.6076606,68.14031244,154.7137727,0,5.342941384,0,0,0,28.90531289,404.71
2013-14,A & N Islands,107.39,55.29,11.98,0,9.27,0,0.88,0,30.96,215.77
2013-14,Arunachal Pradesh,140.4352067,43.0130644,34.65734814,159.7686405,11.16135969,0,0.061214039,8.131264783,83.29190174,480.52
2013-14,Assam,1941,746,81,1340,13,0,36,72,534,4763
2013-14,Manipur,213.9267312,32.35045935,20.57997414,14.83648136,5.092493602,0,1.658997916,24.46496926,85.04989314,397.96
2013-14,Meghalaya,438.7568551,108.5381259,7.022552309,545.9148968,1.599920613,0,0.195410151,45.79925419,173.682985,1321.51
2013-14,Mizoram,200.15,23.57,2.09,4.99,7.48,0,0.06,40.21,24.24,302.79
2013-14,Nagaland,248,48,24,0,6,0,0.05,3.45,65,394.5
2013-14,Kerala,8827.536396,2954.829152,1100.01,3641.111581,324.0128707,204.26,317.81,200.0019613,455.0280387,18024.6
2013-14,Karnataka,9697.54,5942.44,1815.53,14242.17,819.71,108.93,18077.62,2403.51,608.8,53716.25
2013-14,Andhra Pradesh,16835.7751,6550.205668,3070.877163,19431.29,1137.448959,1881.02,21857.35077,1236.044119,919.2282206,72919.24
2013-14,Chandigarh,608.24,446.18,124.9,123.94,21.2,0,1.46,,93.35,1419.27
2013-14,Delhi,11707.48,6875.78,2874.23,172.88,400.02,723.9,29.23,552.58,644.69,23980.79
2013-14,Haryana,6278.14,2874.87,1532.27,7621.6,97.57,585.51,8535.22,783.34,774,29082.52
2013-14,Himachal Pradesh,1774.73,568.51,204.68,4296.58,12.45,0,47.64,472.63,272.27,7649.49
2013-14,Jammu & Kashmir,2429.74,644.92,392.69,777,39.08,0,280.73,512.98,677.22,5754.36
2013-14,Punjab,10344.14,2969.3,3209,8731.23,158.78,140.42,10223.57,427.19,1353.16,37556.79
2013-14,Rajasthan,9446.410886,3352.211763,2840.244823,7140.306985,372.2060008,403.58,17262.83503,1670.937883,662.2666327,43151
2013-14,Uttar Pradesh,21673.471,4002.778,2672.136,12934.7805,782.4835,811.84,10210.931,1602.7115,4485.561,59176.6925
2013-14,Uttarakhand,2639.93,993.87,287.66,4804.92,34.06,11.49,343.99,191.08,289.89,9596.89
2013-14,Goa,808,291,132.98,1627.22,24,0,21,145,36,3085.2
2013-14,D & N Haveli,63.86,34.91,176.78,4902.31,5.48,0,3.82,0,2.35,5189.51
2013-14,Daman & Diu,86.86721571,48.20800492,174.8790493,1486.487387,7.280182134,0,3.145121177,1.237424725,10.43561518,1818.54
2013-14,Maharashtra,24038.57472,12671.00846,8660.691831,26091.88898,1445.042511,2425.474868,22257.93704,2237.216708,1014.414877,100842.25
2013-14,Madhya Pradesh,9137.253955,1983.243001,994.0684945,7229.31,543.1883709,1776.95,11858.49113,1554.684078,1693.260969,36770.45
2013-14,Gujarat,11286.24,3179.96,10453.68,24465.4,303.61,737.15,14729.72,1660.96,60.78,66877.5
2013-14,Chhattisgarh,4097.07,1237.32,517.23,5263.94,102.23,837.34,2492.2,224.87,18.94,14791.14
2014-15,Odisha,5548.86,1319.5,334.04,6095.14,80.87,1031.48,215.8,124.54,689.62,15439.85
2014-15,Jharkhand,3502.1,432.7556,167.37,10964.8706,192.71,1116.2644,89.03,67.78,0,16532.8806
2014-15,Bihar,4033.87,973.53,306.17,1548.33,21.72,545.5,313.22,65.35,1999.61,9807.3
2014-15,Lakshadweep,31.94754354,10.93964908,0.471029024,0,1.271778364,0,0,0,0,44.63
2014-15,Puducherry,635.58,180.1,141.2,1253.6,26,0,67,56.34,81.65,2441.47
2014-15,Tamil Nadu,21990,8394,7333.697084,21435.06292,1136.78,824,12406,2236.22,1862,77617.76
2014-15,Kerala,9467.382031,3121.824007,1100.32,3714.110653,353.7433086,205.31,298.28,200.0019613,324.95,18785.92196
2014-15,West Bengal,12656.99,5374.3744,2056.44,14253.6994,410.69,1558.3056,1492.07,702.52,553.46,39058.5494
2014-15,Sikkim,147.6076606,68.14031244,154.7137727,0,5.342941384,0,0,0,28.90531289,404.71
2014-15,A & N Islands,115.54,58.7,13.39,0,9.05,0,0,0.86,31.92,229.46
2014-15,Arunachal Pradesh,158.5931177,48.57454298,39.13845411,180.4263148,12.60449479,0,0.069128856,9.182616404,94.06133039,542.65
2014-15,Assam,2553,760,82,1405,14,0,39,75,556,5484
2014-15,Manipur,231.76,38.67,17.43,14.85,6.31,0,6.06,33.43,116.59,465.1
2014-15,Meghalaya,385.01,84.97,5.26,400.62,1.27,0,0.1,40.94,314.3489,1232.5189
2014-15,Mizoram,214.5,34.02,1.87,6.78,7.2,0,0.04,46.68,16.13,327.22
2014-15,Nagaland,307.79,68.43,53.78,0,11.26,0,0,5.22,82.86,529.34
2014-15,Tripura,430.88,71.36,23.89,17.02,38.36,0,32.62,74.5,97.5,786.13
2014-15,Karnataka,10581.44918,6217.648657,1787.405292,13999.04142,876.1375373,246.66,17988.6444,2476.818284,991.7152239,55165.52
2014-15,Telangana,8620.54,4326.38,1172.83,10554.66,533.29,609.06,12569.13533,494.5912253,758.3959781,39638.88
2014-15,Chandigarh,655.38,460.21,124.08,117.2,21.66,0,1.67,,91.46,1471.66
2014-15,Delhi,12366.3,6831.69,2689.508008,165.6919924,441.72,698.89,13.04,566.35,1001.83,24775.02
2014-15,Haryana,6671.2,3282.84,1712.88,8655.2,96.77,623.23,9654.38,827.82,673.01,32197.33
2014-15,Himachal Pradesh,1891.36,473.21,71.06,4554.69,13.34,0,547.72,0,290.14,7841.52
2014-15,Jammu & Kashmir,2690.534357,714.1420141,434.8390924,860.3987238,43.27462307,0,310.8619482,568.0403312,749.9089108,6372
2014-15,Punjab,11137.84,3146.34,3304.97,10117.77,174.87,149.91,10223.57,443.77,684.78,39383.82
2014-15,Rajasthan,9786.33,3610.08,3020.24,11588.96,383.08,145.9,19088.87,1648.51,648.15,49920.12
2014-15,Uttar Pradesh,24955.85,4329.97,2751.2,13432.5,816.39,888.77,11755.28,1687.06,4089.66,64706.68
2014-15,Uttarakhand,2323,1078,312,5358,45.52,11.49,108.1,314,430,9980.11
2014-15,Chhattisgarh,4634.81,1334.57,524.34,6247.67,104.48,866.13,3112.28,238.56,38.71,17101.55
2014-15,Andhra Pradesh,9949.95,2672.99,2146.23,13421.53,522.1,1549.05,10899.59727,324.84434,427.3822882,41913.67
2014-15,Goa,736,264,189.98,1722.22,39,0,30,143,27,3151.2
2014-15,D & N Haveli,93.13,27.05,187.51,4840.64,7.76,0,4.31,3.23,0,5163.63
2014-15,Daman & Diu,83.13,41.57,153.9,1287.86,8.79,0,2.3,7.18,10.23,1594.96
2014-15,Maharashtra,25207.3,12948.41,8988.97,26834.84,1582.76,2442.19,26632.69,2349.76,1509.16,108496.08
2014-15,Madhya Pradesh,10152.06715,2179.955911,1056.318043,7485.13,390.6808577,1897.66,15068.89918,1298.993758,2227.305099,41757.01
2014-15,Gujarat,12457.15,3412.44,11111.74,27969.66,313.65,767.14,15942.82,1706.02,209.14,73889.76
